year,of_players,ethnicity,of_war
1947,0.983,White,0.999
1948,0.985,White,0.976
1957,0.881,White,0.828
1977,0.179,African American,0.272
1978,0.174,African American,0.242
1979,0.179,African American,0.242
1980,0.174,African American,0.264
1981,0.187,African American,0.26
1982,0.179,African American,0.221
1983,0.18,African American,0.258
1984,0.184,African American,0.229
1985,0.183,African American,0.242
1986,0.183,African American,0.228
1958,0.867,White,0.799
1987,0.177,African American,0.206
1988,0.173,African American,0.202
1989,0.165,African American,0.224
1990,0.166,African American,0.24
1991,0.17,African American,0.224
1992,0.167,African American,0.238
1993,0.168,African American,0.212
1994,0.172,African American,0.22
1995,0.161,African American,0.18
1996,0.16,African American,0.188
1959,0.848,White,0.78
1997,0.15,African American,0.167
1998,0.143,African American,0.199
1999,0.136,African American,0.158
2000,0.128,African American,0.139
2001,0.121,African American,0.127
2002,0.108,African American,0.124
2003,0.104,African American,0.117
2004,0.101,African American,0.109
2005,0.091,African American,0.113
2006,0.09,African American,0.097
1960,0.823,White,0.795
2007,0.085,African American,0.116
2008,0.082,African American,0.103
2009,0.071,African American,0.118
2010,0.078,African American,0.111
2011,0.079,African American,0.129
2012,0.072,African American,0.114
2013,0.067,African American,0.077
2014,0.067,African American,0.11
2015,0.072,African American,0.116
2016,0.067,African American,0.083
1961,0.826,White,0.746
1947,0.007,Latino,-0.003
1948,0.007,Latino,-0.002
1949,0.019,Latino,0.007
1950,0.03,Latino,0.017
1951,0.028,Latino,0.045
1952,0.027,Latino,0.042
1953,0.03,Latino,0.054
1954,0.037,Latino,0.063
1955,0.05,Latino,0.05
1956,0.051,Latino,0.037
1962,0.819,White,0.713
1957,0.052,Latino,0.057
1958,0.059,Latino,0.063
1959,0.065,Latino,0.066
1960,0.089,Latino,0.067
1961,0.077,Latino,0.08
1962,0.08,Latino,0.094
1963,0.082,Latino,0.099
1964,0.089,Latino,0.101
1965,0.088,Latino,0.112
1966,0.097,Latino,0.124
1963,0.801,White,0.704
1967,0.107,Latino,0.124
1968,0.108,Latino,0.135
1969,0.111,Latino,0.124
1970,0.117,Latino,0.097
1971,0.106,Latino,0.095
1972,0.109,Latino,0.102
1973,0.11,Latino,0.085
1974,0.115,Latino,0.089
1975,0.102,Latino,0.101
1976,0.115,Latino,0.097
1964,0.793,White,0.686
1977,0.114,Latino,0.104
1978,0.113,Latino,0.08
1979,0.107,Latino,0.079
1980,0.116,Latino,0.07
1981,0.111,Latino,0.073
1982,0.117,Latino,0.113
1983,0.116,Latino,0.092
1984,0.12,Latino,0.102
1985,0.113,Latino,0.089
1986,0.118,Latino,0.077
1965,0.783,White,0.644
1987,0.123,Latino,0.116
1988,0.145,Latino,0.111
1989,0.132,Latino,0.123
1990,0.148,Latino,0.116
1991,0.161,Latino,0.159
1992,0.156,Latino,0.166
1993,0.169,Latino,0.143
1994,0.178,Latino,0.189
1995,0.192,Latino,0.155
1996,0.204,Latino,0.218
1966,0.769,White,0.636
1997,0.235,Latino,0.194
1998,0.228,Latino,0.239
1999,0.235,Latino,0.282
2000,0.247,Latino,0.277
2001,0.26,Latino,0.29
2002,0.265,Latino,0.293
2003,0.268,Latino,0.317
